id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language
27205,Inception,8.364,34495,Released,15/07/2010,825532764,148,False,160000000,tt1375666,en
157336,Interstellar,8.417,32571,Released,5/11/2014,701729206,169,False,165000000,tt0816692,en
155,The Dark Knight,8.512,30619,Released,16/07/2008,1004558444,152,False,185000000,tt0468569,en
19995,Avatar,7.573,29815,Released,15/12/2009,2923706026,162,False,237000000,tt0499549,en
24428,The Avengers,7.71,29166,Released,25/04/2012,1518815515,143,False,220000000,tt0848228,en
293660,Deadpool,7.606,28894,Released,9/02/2016,783100000,108,False,58000000,tt1431045,en
299536,Avengers: Infinity War,8.255,27713,Released,25/04/2018,2052415039,149,False,300000000,tt4154756,en
550,Fight Club,8.438,27238,Released,15/10/1999,100853753,139,False,63000000,tt0137523,en
118340,Guardians of the Galaxy,7.906,26638,Released,30/07/2014,772776600,121,False,170000000,tt2015381,en
680,Pulp Fiction,8.488,25893,Released,10/09/1994,213900000,154,False,8500000,tt0110912,en
13,Forrest Gump,8.477,25409,Released,23/06/1994,677387716,142,False,55000000,tt0109830,en
671,Harry Potter and the Philosopher's Stone,7.916,25379,Released,16/11/2001,976475550,152,False,125000000,tt0241527,en
1726,Iron Man,7.64,24874,Released,30/04/2008,585174222,126,False,140000000,tt0371746,en
68718,Django Unchained,8.171,24672,Released,25/12/2012,425368238,165,False,100000000,tt1853728,en
278,The Shawshank Redemption,8.702,24649,Released,23/09/1994,28341469,142,False,25000000,tt0111161,en
299534,Avengers: Endgame,8.263,23857,Released,24/04/2019,2800000000,181,False,356000000,tt4154796,en
603,The Matrix,8.206,23815,Released,30/03/1999,463517383,136,False,63000000,tt0133093,en
597,Titanic,7.9,23637,Released,18/11/1997,2264162353,194,False,200000000,tt0120338,en
475557,Joker,8.168,23425,Released,1/10/2019,1074458282,122,False,55000000,tt7286456,en
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,Released,18/12/2001,871368364,179,False,93000000,tt0120737,en
122,The Lord of the Rings: The Return of the King,8.474,22334,Released,1/12/2003,1118888979,201,False,94000000,tt0167260,en
11324,Shutter Island,8.2,22318,Released,14/02/2010,294800000,138,False,80000000,tt1130884,en
106646,The Wolf of Wall Street,8.035,22222,Released,25/12/2013,392000000,180,False,100000000,tt0993846,en
99861,Avengers: Age of Ultron,7.276,21754,Released,22/04/2015,1405403694,141,False,365000000,tt2395427,en
271110,Captain America: Civil War,7.4,21541,Released,27/04/2016,1155046416,147,False,250000000,tt3498820,en
49026,The Dark Knight Rises,7.777,21335,Released,17/07/2012,1081041287,165,False,250000000,tt1345836,en
68721,Iron Man 3,6.928,21064,Released,18/04/2013,1215577205,130,False,200000000,tt1300854,en
284054,Black Panther,7.39,21053,Released,13/02/2018,1349926083,135,False,200000000,tt1825683,en
284052,Doctor Strange,7.427,20935,Released,25/10/2016,676343174,115,False,180000000,tt1211837,en
76341,Mad Max: Fury Road,7.582,20911,Released,13/05/2015,378858340,121,False,150000000,tt1392190,en
16869,Inglourious Basterds,8.215,20746,Released,19/08/2009,321457747,153,False,70000000,tt0361748,en
70160,The Hunger Games,7.193,20636,Released,12/03/2012,694394724,142,False,75000000,tt1392170,en
315635,Spider-Man: Homecoming,7.345,20507,Released,5/07/2017,880166924,133,False,175000000,tt2250912,en
672,Harry Potter and the Chamber of Secrets,7.721,20390,Released,13/11/2002,876688482,161,False,100000000,tt0295297,en
283995,Guardians of the Galaxy Vol. 2,7.624,20353,Released,19/04/2017,863756051,137,False,200000000,tt3896198,en
121,The Lord of the Rings: The Two Towers,8.385,20274,Released,18/12/2002,926287400,179,False,79000000,tt0167261,en
1771,Captain America: The First Avenger,6.995,20269,Released,22/07/2011,370569774,124,False,140000000,tt0458339,en
297761,Suicide Squad,5.909,20097,Released,3/08/2016,746846894,123,False,175000000,tt1386697,en
673,Harry Potter and the Prisoner of Azkaban,8.02,20038,Released,31/05/2004,789804554,141,False,130000000,tt0304141,en
10195,Thor,6.768,20023,Released,21/04/2011,449326618,115,False,150000000,tt0800369,en
10138,Iron Man 2,6.835,19756,Released,28/04/2010,623933331,124,False,200000000,tt1228705,en
272,Batman Begins,7.701,19561,Released,10/06/2005,374218673,140,False,150000000,tt0372784,en
284053,Thor: Ragnarok,7.595,19539,Released,2/10/2017,855301806,131,False,180000000,tt3501632,en
150540,Inside Out,7.922,19463,Released,9/06/2015,857611174,95,False,175000000,tt2096673,en
135397,Jurassic World,6.682,19414,Released,6/06/2015,1671537444,124,False,150000000,tt0369610,en
807,Se7en,8.368,19403,Released,22/09/1995,327311859,127,False,33000000,tt0114369,en
674,Harry Potter and the Goblet of Fire,7.816,19287,Released,16/11/2005,895921036,157,False,150000000,tt0330373,en
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,Released,9/07/2003,655011224,143,False,140000000,tt0325980,en
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,19183,Released,12/07/2011,1341511219,130,False,125000000,tt1201607,en
11,Star Wars,8.204,19155,Released,25/05/1977,775398007,121,False,11000000,tt0076759,en
297762,Wonder Woman,7.236,18954,Released,30/05/2017,822854286,141,False,149000000,tt0451279,en
14160,Up,7.949,18857,Released,28/05/2009,735099082,96,False,175000000,tt1049413,en
102899,Ant-Man,7.082,18730,Released,14/07/2015,519311965,117,False,130000000,tt0478970,en
238,The Godfather,8.707,18677,Released,14/03/1972,245066411,175,False,6000000,tt0068646,en
286217,The Martian,7.678,18525,Released,30/09/2015,630600000,141,False,108000000,tt3659388,en
105,Back to the Future,8.314,18442,Released,3/07/1985,381109762,116,False,19000000,tt0088763,en
140607,Star Wars: The Force Awakens,7.293,18352,Released,15/12/2015,2068223624,136,False,245000000,tt2488496,en
634649,Spider-Man: No Way Home,7.99,18299,Released,15/12/2021,1921847111,148,False,200000000,tt10872600,en
675,Harry Potter and the Order of the Phoenix,7.686,18177,Released,8/07/2007,938212738,138,False,150000000,tt0373889,en
767,Harry Potter and the Half-Blood Prince,7.697,18127,Released,15/07/2009,933959197,153,False,250000000,tt0417741,en
263115,Logan,7.8,18116,Released,28/02/2017,619021436,137,False,97000000,tt3315342,en
12,Finding Nemo,7.824,18061,Released,30/05/2003,940335536,100,False,94000000,tt0266543,en
346364,It,7.242,18018,Released,6/09/2017,701800000,135,False,40000000,tt1396484,en
245891,John Wick,7.421,17923,Released,22/10/2014,88761661,101,False,20000000,tt2911666,en
259316,Fantastic Beasts and Where to Find Them,7.334,17892,Released,16/11/2016,809342332,132,False,180000000,tt3183660,en
12444,Harry Potter and the Deathly Hallows: Part 1,7.763,17782,Released,17/11/2010,954305868,146,False,250000000,tt0926084,en
354912,Coco,8.222,17742,Released,27/10/2017,800526015,105,False,175000000,tt2380307,en
100402,Captain America: The Winter Soldier,7.671,17692,Released,20/03/2014,714766572,136,False,170000000,tt1843866,en
557,Spider-Man,7.279,17653,Released,1/05/2002,821708551,121,False,139000000,tt0145487,en
10681,WALL?E,8.078,17446,Released,22/06/2008,521311860,98,False,180000000,tt0910970,en
210577,Gone Girl,7.892,17381,Released,1/10/2014,369330363,149,False,61000000,tt2267998,en
49051,The Hobbit: An Unexpected Journey,7.339,17356,Released,12/12/2012,1021103568,169,False,250000000,tt0903624,en
585,Monsters, Inc.,7.835,17189,Released,1/11/2001,579707738,92,/vUTVUdfbsY4DePCYzxxDMXKp6v6.jpg,http://movies.disney.com/monsters-inc,tt0198781
862,Toy Story,7.971,17152,Released,30/10/1995,394400000,81,False,30000000,tt0114709,en
281957,The Revenant,7.5,17114,Released,25/12/2015,532950503,157,False,135000000,tt1663202,en
209112,Batman v Superman: Dawn of Justice,5.952,17081,Released,23/03/2016,873637528,152,False,250000000,tt2975590,en
8587,The Lion King,8.256,16991,Released,24/06/1994,763455561,89,False,45000000,tt0110357,en
98,Gladiator,8.209,16962,Released,4/05/2000,465361176,155,False,103000000,tt0172495,en
37165,The Truman Show,8.133,16827,Released,4/06/1998,264118201,103,False,60000000,tt0120382,en
9806,The Incredibles,7.704,16584,Released,27/10/2004,631442092,115,False,92000000,tt0317705,en
329865,Arrival,7.6,16564,Released,10/11/2016,203388186,116,False,47000000,tt2543164,en
496243,Parasite,8.515,16430,Released,30/05/2019,257591776,133,False,11363000,tt6751668,ko
76338,Thor: The Dark World,6.538,16359,Released,30/10/2013,644783140,112,False,170000000,tt1981115,en
1930,The Amazing Spider-Man,6.691,16352,Released,23/06/2012,757930663,136,False,215000000,tt0948470,en
381288,Split,7.337,16345,Released,19/01/2017,278454358,117,False,9000000,tt4972582,en
383498,Deadpool 2,7.492,16324,Released,10/05/2018,785896609,120,False,110000000,tt5463162,en
694,The Shining,8.218,16205,Released,23/05/1980,44781695,144,False,19000000,tt0081505,en
24,Kill Bill: Vol. 1,7.97,16188,Released,10/10/2003,180906076,111,False,30000000,tt0266697,en
101299,The Hunger Games: Catching Fire,7.4,16182,Released,15/11/2013,865011746,146,False,130000000,tt1951264,en
77338,The Intouchables,8.277,16083,Released,2/11/2011,426588510,113,False,13000000,tt1675434,fr
419430,Get Out,7.62,16081,Released,24/02/2017,255407969,104,False,4500000,tt5052448,en
205596,The Imitation Game,8.007,15973,Released,14/11/2014,233555708,113,False,14000000,tt2084970,en
424694,Bohemian Rhapsody,7.997,15965,Released,24/10/2018,903992901,135,False,52000000,tt1727824,en
497,The Green Mile,8.507,15937,Released,10/12/1999,286801374,189,False,60000000,tt0120689,en
198663,The Maze Runner,7.173,15901,Released,10/09/2014,348319861,113,False,34000000,tt1790864,en
18785,The Hangover,7.312,15812,Released,2/06/2009,469310836,100,False,35000000,tt1119646,en
1891,The Empire Strikes Back,8.4,15773,Released,20/05/1980,538400000,124,False,18000000,tt0080684,en
808,Shrek,7.73,15765,Released,18/05/2001,487853320,90,False,60000000,tt0126029,en
2062,Ratatouille,7.809,15728,Released,28/06/2007,623726000,111,False,150000000,tt0382932,en
207703,Kingsman: The Secret Service,7.636,15664,Released,13/12/2014,414351546,129,False,81000000,tt2802144,en
313369,La La Land,7.897,15625,Released,29/11/2016,447407695,129,False,30000000,tt3783958,en
109445,Frozen,7.2,15520,Released,20/11/2013,1274219009,102,False,150000000,tt2294629,en
374720,Dunkirk,7.456,15464,Released,19/07/2017,527000000,107,False,150000000,tt5013056,en
269149,Zootopia,7.748,15230,Released,11/02/2016,1023784195,109,False,150000000,tt2948356,en
240832,Lucy,6.44,15181,Released,25/07/2014,458863600,89,False,40000000,tt2872732,en
329,Jurassic Park,7.941,15141,Released,11/06/1993,920100000,127,False,63000000,tt0107290,en
274,The Silence of the Lambs,8.3,15003,Released,14/02/1991,272742922,119,False,19000000,tt0102926,en
129,Spirited Away,8.539,14913,Released,20/07/2001,274925095,125,False,19000000,tt0245429,ja
321612,Beauty and the Beast,6.967,14871,Released,16/03/2017,1266115964,129,False,160000000,tt2771200,en
58,Pirates of the Caribbean: Dead Man's Chest,7.346,14868,Released,6/07/2006,1065659812,151,False,200000000,tt0383574,en
177572,Big Hero 6,7.738,14732,Released,24/10/2014,657827828,102,False,165000000,tt2245084,en
75656,Now You See Me,7.345,14726,Released,29/05/2013,351723989,116,False,75000000,tt1670345,en
131631,The Hunger Games: Mockingjay - Part 1,6.796,14725,Released,19/11/2014,755356711,123,False,125000000,tt1951265,en
335983,Venom,6.826,14724,Released,28/09/2018,856085151,112,False,116000000,tt1270797,en
1124,The Prestige,8.203,14696,Released,19/10/2006,109676311,130,False,40000000,tt0482571,en
6479,I Am Legend,7.201,14675,Released,12/12/2007,585410052,101,False,150000000,tt0480249,en
857,Saving Private Ryan,8.209,14658,Released,24/07/1998,481840909,169,False,70000000,tt0120815,en
299537,Captain Marvel,6.843,14657,Released,6/03/2019,1131416446,124,False,152000000,tt4154664,en
339403,Baby Driver,7.5,14634,Released,28/06/2017,226945087,113,False,34000000,tt3890160,en
424,Schindler's List,8.573,14594,Released,15/12/1993,321365567,195,False,22000000,tt0108052,en
1892,Return of the Jedi,7.892,14591,Released,25/05/1983,572700000,132,False,32350000,tt0086190,en
429617,Spider-Man: Far From Home,7.447,14495,Released,28/06/2019,1131927996,129,False,160000000,tt6320628,en
37724,Skyfall,7.227,14466,Released,24/10/2012,1142471295,143,False,200000000,tt1074638,en
49047,Gravity,7.162,14463,Released,3/10/2013,723192705,91,False,105000000,tt1454468,en
127585,X-Men: Days of Future Past,7.5,14433,Released,15/05/2014,747862775,132,False,250000000,tt1877832,en
333339,Ready Player One,7.6,14430,Released,28/03/2018,607274134,140,False,175000000,tt1677720,en
72190,World War Z,6.807,14409,Released,20/06/2013,531865000,116,False,200000000,tt0816711,en
640,Catch Me If You Can,7.971,14393,Released,16/12/2002,352114312,141,False,52000000,tt0264464,en
330459,Rogue One: A Star Wars Story,7.488,14354,Released,14/12/2016,1056057273,133,False,200000000,tt3748528,en
181808,Star Wars: The Last Jedi,6.825,14312,Released,13/12/2017,1332698830,152,False,200000000,tt2527336,en
49521,Man of Steel,6.614,14310,Released,12/06/2013,668045518,143,False,225000000,tt0770828,en
20352,Despicable Me,7.227,14147,Released,8/07/2010,533679475,95,False,69000000,tt1323594,en
558,Spider-Man 2,7.258,14096,Released,25/06/2004,788976453,127,False,200000000,tt0316654,en
324857,Spider-Man: Into the Spider-Verse,8.404,14024,Released,6/12/2018,375464627,117,False,90000000,tt4633694,en
118,Charlie and the Chocolate Factory,7.04,13967,Released,13/07/2005,474968763,115,False,150000000,tt0367594,en
244786,Whiplash,8.381,13891,Released,10/10/2014,13092000,107,False,3300000,tt2582802,en
1422,The Departed,8.166,13792,Released,4/10/2006,291465000,151,False,90000000,tt0407887,en
120467,The Grand Budapest Hotel,8.049,13787,Released,26/02/2014,174600318,100,False,30000000,tt2278388,en
10193,Toy Story 3,7.792,13777,Released,16/06/2010,1066969703,103,False,200000000,tt0435761,en
77,Memento,8.188,13723,Released,11/10/2000,39723096,113,False,9000000,tt0209144,en
38,Eternal Sunshine of the Spotless Mind,8.101,13709,Released,19/03/2004,72258126,108,False,20000000,tt0338013,en
101,L?on: The Professional,8.316,13652,Released,14/09/1994,45284974,111,False,16000000,tt0110413,en
44214,Black Swan,7.672,13567,Released,3/12/2010,329398046,108,False,13000000,tt0947798,en
752,V for Vendetta,7.897,13556,Released,23/02/2006,132511035,132,False,54000000,tt0434409,en
1893,Star Wars: Episode I - The Phantom Menace,6.5,13550,Released,19/05/1999,924317558,136,False,115000000,tt0120915,en
152601,Her,7.862,13407,Released,18/12/2013,47351251,126,False,23000000,tt1798709,en
285,Pirates of the Caribbean: At World's End,7.239,13345,Released,19/05/2007,961000000,169,False,300000000,tt0449088,en
122917,The Hobbit: The Battle of the Five Armies,7.309,13301,Released,10/12/2014,956019788,144,False,250000000,tt2310332,en
500,Reservoir Dogs,8.132,13296,Released,2/09/1992,2859750,99,False,1200000,tt0105236,en
273248,The Hateful Eight,7.746,13291,Released,25/12/2015,155760117,188,False,44000000,tt3460252,en
348,Alien,8.147,13206,Released,25/05/1979,104931801,117,False,11000000,tt0078748,en
10528,Sherlock Holmes,7.202,13170,Released,23/12/2009,524028679,129,False,90000000,tt0988045,en
12155,Alice in Wonderland,6.627,13149,Released,3/03/2010,1025467110,108,False,200000000,tt1014759,en
1865,Pirates of the Caribbean: On Stranger Tides,6.538,13126,Released,15/05/2011,1045713802,137,False,379000000,tt1298650,en
559,Spider-Man 3,6.398,13098,Released,1/05/2007,894983373,139,False,258000000,tt0413300,en
447332,A Quiet Place,7.396,13079,Released,3/04/2018,341000000,91,False,17000000,tt6644200,en
297802,Aquaman,6.9,12965,Released,7/12/2018,1148528393,143,False,160000000,tt1477834,en
393,Kill Bill: Vol. 2,7.876,12916,Released,16/04/2004,152159461,136,False,30000000,tt0378194,en
920,Cars,6.936,12906,Released,8/06/2006,461983149,117,False,120000000,tt0317219,en
863,Toy Story 2,7.589,12904,Released,30/10/1999,497366869,92,False,90000000,tt0120363,en
607,Men in Black,7.184,12836,Released,2/07/1997,589390539,98,False,90000000,tt0119654,en
