year;make;model;trim;body;transmission;vin;state;condition;odometer;color;interior;mmr;sellingprice
2015;Kia;Sorento;LX;SUV;automatic;5xyktca69fg566472;ca;5;16639;white;black;20500;21500
2015;Kia;Sorento;LX;SUV;automatic;5xyktca69fg561319;ca;5;9393;white;beige;20800;21500
2014;BMW;3 Series;328i SULEV;Sedan;automatic;wba3c1c51ek116351;ca;45;1331;gray;black;31900;30000
2015;Volvo;S60;T5;Sedan;automatic;yv1612tb4f1310987;ca;41;14282;white;black;27500;27750
2014;BMW;6 Series Gran Coupe;650i;Sedan;automatic;wba6b2c57ed129731;ca;43;2641;gray;black;66000;67000
2015;Nissan;Altima;2.5 S;Sedan;automatic;1n4al3ap1fn326013;ca;1;5554;gray;black;15350;10900
2014;BMW;M5;Base;Sedan;automatic;wbsfv9c51ed593089;ca;34;14943;black;black;69000;65000
2014;Chevrolet;Cruze;1LT;Sedan;automatic;1g1pc5sb2e7128460;ca;2;28617;black;black;11900;9800
2014;Audi;A4;2.0T Premium Plus quattro;Sedan;automatic;wauffafl3en030343;ca;42;9557;white;black;32100;32250
2014;Chevrolet;Camaro;LT;Convertible;automatic;2g1fb3d37e9218789;ca;3;4809;red;black;26300;17500
2014;Audi;A6;3.0T Prestige quattro;Sedan;automatic;wauhgafc0en062916;ca;48;14414;black;black;47300;49750
2015;Kia;Optima;LX;Sedan;automatic;5xxgm4a73fg353538;ca;48;2034;red;tan;15150;17700
2015;Ford;Fusion;SE;Sedan;automatic;3fa6p0hdxfr145753;ca;2;5559;white;beige;15350;12000
2015;Kia;Sorento;LX;SUV;automatic;5xyktca66fg561407;ca;5;14634;silver;black;20600;21500
2014;Chevrolet;Cruze;2LT;Sedan;automatic;1g1pe5sbxe7120097;ca;;15686;blue;black;13900;10600
2015;Nissan;Altima;2.5 S;Sedan;automatic;1n4al3ap5fc124223;ca;2;11398;black;black;14750;14100
2015;Hyundai;Sonata;SE;Sedan;automatic;5npe24af4fh001562;ca;;8311;red;;15200;4200
2014;Audi;Q5;2.0T Premium Plus quattro;SUV;automatic;wa1lfafpxea085074;ca;49;7983;white;black;37100;40000
2014;Chevrolet;Camaro;LS;Coupe;automatic;2g1fa1e39e9134494;ca;17;13441;black;black;17750;17000
2014;BMW;6 Series;650i;Convertible;automatic;wbayp9c53ed169260;ca;34;8819;black;black;68000;67200
2015;Chevrolet;Impala;LTZ;Sedan;automatic;2g1165s30f9103921;ca;19;14538;silver;black;24300;7200
2014;BMW;5 Series;528i;Sedan;automatic;wba5a5c51ed501631;ca;29;25969;black;black;34200;30000
2014;Chevrolet;Camaro;LT;Convertible;automatic;2g1fb3d31e9134662;ca;;33450;black;black;20100;14700
2015;Audi;A3;1.8 TFSI Premium;Sedan;automatic;wauacgff7f1002327;ca;49;5826;gray;black;24000;23750
2014;BMW;6 Series;650i;Convertible;automatic;wbayp9c57ed169262;ca;38;10736;black;black;67000;65000
2015;Hyundai;Sonata;SE;Sedan;automatic;5npe24af4fh038482;ca;;9281;silver;gray;15150;8500
2015;Volvo;XC70;T6;Wagon;automatic;yv4902nb3f1198103;ca;42;16506;brown;brown;32100;32500
2015;Volvo;XC70;T6;Wagon;automatic;yv4902nb3f1196951;ca;48;12725;beige;beige;32300;32500
2014;BMW;X5;sDrive35i;SUV;automatic;5uxkr2c52e0h33130;ca;;11278;gray;black;50400;34000
2014;Chevrolet;Camaro;LT;Coupe;automatic;2g1fb1e35e9238302;ca;42;11874;gray;black;22200;19500
2014;Chevrolet;Cruze;1LT;Sedan;automatic;1g1pc5sb2e7105471;ca;42;37888;gray;black;11600;11500
2014;Audi;SQ5;3.0T Premium Plus quattro;SUV;automatic;wa1cgafp4ea030312;ca;42;9606;white;black;48600;47500
2015;Kia;Sorento;LX;SUV;automatic;5xyktca60fg565226;ca;5;13757;red;black;20600;20750
2014;Audi;S5;Premium Plus quattro;Coupe;automatic;waucgafrxea001689;ca;38;5875;black;black;46500;44500
2015;Kia;Sorento;LX;SUV;automatic;5xyktca68fg559481;ca;44;12862;gray;black;20700;21000
2014;Buick;Verano;Convenience Group;Sedan;;1g4pr5sk8e4175320;ca;2;19531;gray;gray;15000;9200
2015;Chevrolet;Suburban;LTZ;SUV;automatic;1gnskkkc3fr187901;ca;45;11426;black;black;57300;59900
2014;BMW;3 Series;328i SULEV;Sedan;automatic;wba3c1c50ek108497;ca;5;111;black;;32200;30500
2014;BMW;M5;Base;Sedan;automatic;wbsfv9c56ed593069;ca;38;16360;black;black;65000;64250
2014;BMW;3 Series;328i SULEV;Sedan;automatic;wba3c1c58ek106688;ca;45;9027;white;black;30200;27500
2014;Cadillac;ELR;Base;Coupe;automatic;1g6rr1e48eu601450;ca;47;4436;gray;black;49400;44000
2015;Hyundai;Sonata;SE;Sedan;automatic;5npe24af2fh014813;ca;;9208;silver;gray;15700;10000
2014;BMW;6 Series;650i;Convertible;automatic;wbayp9c50ed169281;ca;32;13205;white;black;66000;65000
2015;Volvo;V60;T5;Wagon;automatic;yv1612sb9f1202043;ca;41;11846;white;beige;31300;30000
2014;Chevrolet;Cruze;1LT;Sedan;;1g1pc5sb6e7128803;ca;;38261;white;;11450;2000
2014;BMW;X6;xDrive35i;SUV;automatic;5uxfg2c53e0h11080;ca;4;379;white;black;54800;51700
2015;Volvo;V60;T5;Wagon;automatic;yv1612sb1f1201503;ca;42;12242;black;gray;31200;30000
2014;Chevrolet;Cruze;2LT;Sedan;automatic;1g1pe5sb6e7118217;ca;34;40661;silver;black;13050;13000
2014;Acura;ILX;Technology Package;Sedan;automatic;19vde1f70ee008913;ca;25;9051;gray;black;22700;21250
2015;Kia;Sorento;LX;SUV;automatic;5xyktca67fg570973;ca;5;13878;silver;black;20600;20750
2015;Volvo;V60;T5;Wagon;automatic;yv1612sbxf1202276;ca;37;10906;silver;black;31500;30000
2015;Nissan;Altima;2.5 S;Sedan;automatic;1n4al3ap4fn313644;ca;;10678;gray;black;15150;11600
2014;BMW;6 Series Gran Coupe;650i;Sedan;automatic;wba6b2c51ed129563;ca;42;7305;white;black;65000;66100
2015;Nissan;Altima;2.5 S;Sedan;automatic;1n4al3ap1fn331213;ca;1;4314;black;black;15500;11500
2015;Kia;K900;Luxury;Sedan;automatic;knalw4d42f6019667;ca;42;5304;blue;black;39500;40000
2015;Kia;Sorento;LX;SUV;automatic;5xyktca63fg570727;ca;48;10357;silver;gray;20700;20500
2015;Chevrolet;Malibu;LT;Sedan;automatic;1g11d5sl6fu106427;ca;1;6105;silver;black;16600;9800
2015;Lexus;RX 350;Base;SUV;automatic;2t2zk1ba7fc155782;ca;43;7770;white;black;41200;38400
2015;Kia;Sorento;LX;SUV;automatic;5xykt3a62fg579841;ca;5;5214;white;black;19400;19300
2014;BMW;M5;Base;Sedan;automatic;wbsfv9c51ed097712;ca;47;7766;gray;black;71000;77250
2015;Kia;K900;Luxury;Sedan;automatic;knalw4d42f6018633;ca;44;9684;white;gray;41000;41000
2015;Audi;A3;1.8 TFSI Premium;Sedan;automatic;wauacgff6f1029938;ca;2;31;white;black;24200;17300
2015;Nissan;Versa;1.6 SL;Sedan;manual;3n1cn7ap7fl842707;ca;39;1608;purple;black;10900;11000
2014;Chevrolet;Camaro;LT;Coupe;automatic;2g1fb1e35e9238493;ca;31;9914;black;black;22500;20600
2015;Hyundai;Elantra;SE;Sedan;automatic;5npdh4ae2fh565969;ca;1;7879;silver;gray;13800;10500
2015;Kia;Sorento;LX;SUV;automatic;5xyktca6xfg560888;ca;5;14176;white;black;20600;21250
2014;Chevrolet;Camaro;LT;Coupe;automatic;2g1fb1e33e9211499;ca;41;17594;gray;black;21500;19600
2015;Audi;A3;1.8 TFSI Premium;Sedan;automatic;wauacgff1f1002467;ca;5;1906;gray;black;24100;25750
2014;BMW;6 Series;650i;Convertible;automatic;wbayp9c55ed169261;ca;4;8037;black;black;67000;65000
2015;Nissan;Versa Note;1.6 SV;Hatchback;automatic;3n1ce2cp8fl371361;ca;2;5773;red;black;12050;9000
2014;Audi;A8;L 3.0T quattro;Sedan;automatic;waurgafd8en003111;ca;43;32918;black;black;62000;50000
2014;BMW;X1;sDrive28i;SUV;automatic;wbavm1c53evw47779;ca;48;19689;white;black;23700;26500
2014;BMW;;750Li;Sedan;automatic;wbaye8c59ed134514;ca;43;12172;black;black;67000;66000
2014;Chevrolet;Camaro;LT;Coupe;automatic;2g1fb1e31e9248986;ca;1;20595;red;gray;20800;13600
2015;Volvo;V60;T5;Wagon;automatic;yv1612sb8f1201529;ca;4;13623;silver;black;28400;28000
2014;BMW;6 Series;650i;Coupe;automatic;wbaym9c53ed248064;ca;4;9837;black;;62000;61500
2014;Chevrolet;Camaro;LT;Coupe;automatic;2g1fb1e37e9270877;ca;3;13606;black;black;21400;13000
2014;BMW;6 Series Gran Coupe;650i;Sedan;automatic;wba6b2c53ed128866;ca;29;37752;white;black;62000;58000
2015;Kia;Sorento;LX;SUV;automatic;5xyktca68fg570979;ca;44;9161;silver;black;20800;22250
2015;Kia;Sorento;LX;SUV;automatic;5xyktca65fg571619;ca;5;11001;white;black;20700;22500
2014;Buick;Enclave;Leather Group;SUV;automatic;5gakrbkd2ej294045;ca;1;14599;gray;black;31000;24100
